百,百[ひゃく],ひゃく,hundred,[sound:97a006508e55a1c68635bf9c943bcb2b.mp3],Noun,,私の祖母は<b>百</b>才です。,私[わたし]の 祖母[そぼ]は<b> 百[ひゃく]</b> 才[さい]です。,わたし の そぼ は <b>ひゃく</b>さい です,My grandmother is 100 years old.,私[わたし]の 祖母[そぼ]は<b>（　）</b> 才[さい]です。,[sound:71dd3b92bf4d603a9b4be03e83b531ae.mp3],"<img src=""c88e723ef25022d1b38623db6654531b.jpg"" />",Core 2000 Step 02 - 173,373,24,388,
千,千[せん],せん,thousand,[sound:0d1ec8aff87339d0497171322b4c092c.mp3],Noun,,<b>千</b>円貸してください。,<b> 千[せん]</b> 円貸[えん か]してください。,<b>せん</b>えん かして ください,Please lend me 1000 yen.,<b>（　）</b> 円貸[えん か]してください。,[sound:cb67601d6c258ea90b2d14c7cee65a1d.mp3],"<img src=""6eede92d1f21cbd1c7f37fd2b5ed8967.jpg"" />",Core 2000 Step 02 - 096,296,25,140,
万,万[まん],まん,ten thousand,[sound:17d48712ba1335fa0f3e0a5a9f43555d.mp3],Noun,,この靴は1<b>万</b>円です。,この 靴[くつ]は 1[いち]<b> 万[まん]</b> 円[えん]です。,この くつ は いち<b>まん</b>えん です,These shoes are ten thousand yen.,この 靴[くつ]は 1[いち]<b>（　）</b> 円[えん]です。,[sound:022699a75d7bf7b15a8f97a1137aa7e6.mp3],"<img src=""9a767cd816c9d56a3e5e60e4bf92f9e5.jpg"" />",Core 2000 Step 02 - 178,378,26,395,
円,円[えん],えん,circle,[sound:418361aa755f7b13c9f2d1efa443a2d5.mp3],Noun,,そこに大きな<b>円</b>を描いて。,そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。,そこ に おおき な <b>えん</b> を かいて,Draw a big circle there.,そこに 大[おお]きな<b>（　）</b>を 描[か]いて。,[sound:1fde21d036e7e30463543e9af5e5c3d1.mp3],"<img src=""0fc976e7ac437c764ae72e171c7b42c3.jpg"" />",Core 2000 Step 01 - 003,3,27,343,
円,円[えん],えん,yen,[sound:91dbd62e022f5f1cf8a1daf1a9c9be70.mp3],Noun,,カレーライスは700<b>円</b>です。,カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。,かれーらいす は ななひゃく<b>えん</b> です,The curry and rice is 700 yen.,カレーライスは 700[ななひゃく]<b>（　）</b>です。,[sound:4d622a5082224929662c3cbe0669a232.mp3],"<img src=""36d080a653bd0c40edf92694ccf33574.jpg"" />",Core 2000 Step 02 - 197,397,28,3,
時,時[とき],とき,time,[sound:8864621b02e408d0a069a09359eab487.mp3],Noun,,<b>時</b>の経つのは早い。,<b> 時[とき]</b>の 経[た]つのは 早[はや]い。,<b>とき</b> の たつ の は はやい,Time passes by quickly.,<b>（　）</b>の 経[た]つのは 早[はや]い。,[sound:061bb20c57c1fce6de649fabd5120aa7.mp3],"<img src=""5cbd3fc6ed1b987da99de598b237b65c.jpg"" />",Core 2000 Step 02 - 002,202,29,154,
する,する,する,"do, make",[sound:9c724f8a061546e4da465b791fd8950e.mp3],Verb,,友達と一緒に宿題を<b>した</b>。,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。,ともだち と いっしょ に しゅくだい を <b>した</b>,I did my homework with a friend.,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。,[sound:1ec835d6708c6a3fe8196d0f59b620f0.mp3],"<img src=""d86e407d302a3feac159d95617c95295.jpg"" />",Core 2000 Step 01 - 012,12,30,294,
時々,時々[ときどき],ときどき,sometimes,[sound:43d8819718e50d5e827949c60c843d75.mp3],Adverb,,彼は<b>時々</b>遅刻します。,彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。,かれ は <b>ときどき</b> ちこく します,He's sometimes late.,彼[かれ]は<b>（　）</b> 遅刻[ちこく]します。,[sound:68e35b2b6d0abcd2b9fa8a78a03744a8.mp3],"<img src=""3224d52b7a6b21e12e816a8c19309b65.jpg"" />",Core 2000 Step 02 - 165,365,31,312,
日,日[にち],にち,day,[sound:27358d5e9bfa4594bbd63067e67d99fe.mp3],Noun,,私たちは先月11<b>日</b>に結婚しました。,私[わたし]たちは 先月11[せんげつ じゅういち]<b> 日[にち]</b>に 結婚[けっこん]しました。,わたしたち は せんげつ じゅういち <b>にち</b> に けっこん しました,We got married last month on the 11th.,私[わたし]たちは 先月11[せんげつ じゅういち]<b>（　）</b>に 結婚[けっこん]しました。,[sound:2c804c818eafd95e45f3e6fa06bffcf4.mp3],"<img src=""28b89aa81c5a9d79bed9e388a8053fb9.jpg"" />",Core 2000 Step 02 - 066,266,32,247,
六日,六日[むいか],むいか,"six days, 6th of the month",[sound:a262afab21d12136e62dbfad28b6276f.mp3],Noun,,<b>六日</b>前に日本に帰ってきました。,<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,<b>むいか</b>まえ に にほん に かえって きました,I came back to Japan six days ago.,<b>（　）</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,[sound:de16b621d3fd313205eb37e8023eb358.mp3],"<img src=""3ac6a6ec9e493005b975c74a81f5d656.jpg"" />",Core 2000 Step 02 - 098,298,33,40,
